Acceleration;Braking;Steering;Clutch;Gear; Gear; SpeedX;TrackPosition;Angle;Track_1;Track_2;Track_3;Track_4;Track_5;Track_6;Track_7;Track_8;Track_9;Track_10;Track_11;Track_12;Track_13;Track_14;Track_15;Track_16;Track_17;Track_18;Track_19
1.0;0.0;-0.022505640983581543;0.6399999856948853;1;1;370.184;0.340169;0.016406;395.952;41.173;524.094;706.885;121.234;162.963;251.414;559.169;200.0;200.0;200.0;777.008;42.37;292.794;224.993;136.999;103.556;828.935;80.421
0.33442211151123047;0.0;-0.022115707397460938;0.6399999856948853;1;1;379.745;0.339498;0.0171955;39.636;412.242;524.987;708.431;121.635;163.645;252.922;566.034;200.0;200.0;200.0;770.771;421.765;291.841;224.417;136.782;103.438;828.356;803.818
1.0;0.0;-0.021745210513472557;0.6399999856948853;1;1;385.872;0.338806;0.0179304;39.678;41.276;525.872;709.947;122.023;16.43;254.365;572.624;200.0;200.0;200.0;76.501;419.958;290.944;223.872;136.573;103.323;827.777;803.413
0.7630548477172852;0.0;-0.02139374241232872;0.6399999856948853;1;1;392.825;0.337992;0.0185912;397.273;413.347;526.823;711.518;122.408;16.494;255.749;578.836;200.0;200.0;200.0;75.979;418.284;290.099;223.352;136.366;103.205;827.138;802.934
1.0;0.0;-0.021014295518398285;0.6399999856948853;1;1;401.107;0.337179;0.0193149;397.767;413.941;527.803;71.316;122.818;165.626;257.247;58.571;200.0;200.0;200.0;754.192;416.489;289.196;222.798;136.148;103.082;826.486;802.457
0.4288167953491211;0.0;-0.020619628950953484;0.6399999856948853;1;1;409.544;0.336365;0.0200703;398.261;41.454;5.288;71.484;123.241;166.337;258.813;593.011;200.0;200.0;200.0;748.449;41.464;288.266;222.228;135.924;102.957;825.829;80.198
1.0;0.0;-0.020219292491674423;0.6399999856948853;1;1;416.766;0.335551;0.0208348;398.756;41.514;529.803;716.533;123.669;167.059;260.409;600.561;200.0;200.0;200.0;742.724;412.786;287.332;221.654;13.57;102.831;825.171;801.505
0.8022146224975586;0.0;-0.019853174686431885;0.6399999856948853;1;1;423.779;0.334676;0.021503;399.287;415.768;530.811;718.194;124.075;167.735;261.881;607.453;200.0;200.0;200.0;737.695;411.128;286.485;221.128;135.487;102.708;824.496;800.991
1.0;0.0;-0.019446169957518578;0.6399999856948853;1;1;432.269;0.333659;0.0222323;399.904;416.492;531.962;720.077;124.532;168.493;263.528;615.195;200.0;200.0;200.0;732.243;409.311;285.551;220.546;135.249;10.257;82.372;800.393
0.3303852081298828;0.0;-0.019021691754460335;0.6399999856948853;1;1;440.903;0.332642;0.0229972;400.521;417.221;533.133;722.004;125.004;169.281;265.252;623.456;200.0;200.0;197.724;726.629;407.436;284.588;219.945;135.005;102.429;822.938;799.796
1.0;0.0;-0.018596051260828972;0.6399999856948853;1;1;446.981;0.331624;0.02376;401.139;417.951;534.304;723.934;125.478;170.072;26.699;631.896;200.0;200.0;193.918;721.106;405.579;283.632;219.349;134.763;102.288;822.158;7.992
